dispatching_base_num,avg_minutes_between_rides
B02631,235.96
B02634,2.31
B02637,75.46
B02641,18.1
B02643,63.09
B02649,2442.6
B02651,267.47
B02653,3.09
B02655,512.09
B02657,9.15
B02658,56.88
B02661,26.49
B02662,245.92
B02664,257.1
B02667,396.86
B02669,2292.97
B02670,47.85
B02671,4.06
B02673,607.3
B02674,21.15
B02677,2.11
B02682,0.05
B02686,347.63
B02687,25.97
B02688,21.12
B02689,1700.68
B02694,370.7
B02695,134.34
B02699,29.96
B02702,386.8
B02704,46.84
B02705,548.47
B02707,38.73
B02709,67.15
B02710,443.78
B02715,2.68
B02717,25.85
B02719,7.14
B02723,9.94
B02724,150.54
B02725,68.29
B02726,213.6
B02727,183.18
B02728,12.45
B02729,239.19
B02731,77.63
B02732,17.4
B02735,307.76
B02736,53.49
B02737,14.15
B02738,38.73
B02739,47.23
B02747,16.24
B02749,67.69
B02751,1395.0
B02753,155.73
B02755,907.5
B02756,41.48
B02759,20.36
B02760,174.95
B02762,22.25
B02764,0.03
B02765,0.26
B02767,402.21
B02768,293.55
B02769,157.61
B02770,140.3
B02782,32.28
B02783,13.52
B02784,6.02
B02793,254.3
B02794,1541.12
B02795,6.28
B02797,109.05
B02799,24.49
B02800,0.05
B02803,9.78
B02809,19.14
B02811,37.42
B02814,7.34
B02817,17.67
B02819,69.01
B02821,38.02
B02823,1920.06
B02825,13.43
B02826,12.28
B02832,198.12
B02833,14.96
B02834,13.06
B02835,0.11
B02836,0.16
B02838,111.52
B02839,383.62
B02841,102.76
B02846,53.94
B02848,1609.53
B02849,3.57
B02851,349.74
B02852,86.54
B02853,1694.1
B02855,12.31
B02856,26.81
B02857,29.37
B02860,26.81
B02861,21.64
B02864,0.2
B02865,0.22
B02866,0.16
B02867,0.1
B02868,201.47
B02869,0.25
B02870,0.22
B02871,0.2
B02872,0.17
B02874,288.68
B02875,0.3
B02876,0.09
B02877,0.12
B02878,0.21
B02879,0.24
B02880,0.16
B02881,5.12
B02882,0.08
B02883,0.1
B02884,0.07
B02887,0.12
B02888,0.1
B02889,0.15
B02891,259.06
B02892,777.58
B02893,364.33
B02896,77.95
B02897,93.98
B02898,17.31
B02899,3.43
B02901,20.62
B02903,62.0
B02904,41.98
B02905,4.07
B02907,0.16
B02908,27.28
B02909,24.87
B02911,1990.77
B02912,29.41
B02913,296.59
B02914,0.04
B02917,237.23
B02919,161.1
B02920,63.62
B02922,1577.5
B02924,8.86
B02925,77.48
B02927,288.6
B02930,12.44
B02931,19.84
B02933,216.75
B02934,126.85
B02937,51.6
B02939,17.03
B02942,51.86
B02944,40.2
B02947,10.34
B02950,112.81
B02951,41.37
B02952,333.39
B02956,4389.3
B02959,401.48
B02962,155.17
B02963,172.63
B02965,54.73
B02966,155.57
B02967,91.74
B02970,24.43
B02971,64.11
B02972,151.52
B02975,25.41
B02976,223.17
B02979,46.66
B02986,101.88
B02988,86.91
B02990,41.47
B02992,391.62
B02994,333.98
B02995,176.95
B02996,7.98
B03000,1124.86
B03002,9.12
B03007,164.94
B03008,448.51
B03011,246.59
B03012,21.62
B03015,14.83
B03016,8993.34
B03017,33.3
B03018,323.96
B03020,55.21
B03021,66.19
B03022,173.31
B03024,424.27
B03028,41.29
B03030,266.76
B03031,188.31
B03032,9.48
B03033,24.8
B03034,2027.41
B03039,247.7
B03040,45.27
B03042,43.15
B03045,8440.5
B03047,65.93
B03048,39.65
B03050,223.82
B03051,32.09
B03052,448.79
B03053,29.31
B03055,25.38
B03056,22.24
B03059,179.78
B03060,18.22
B03062,29.02
B03064,177.58
B03069,39.34
B03072,204.35
B03074,67.82
B03076,405.23
B03081,2326.08
B90552,485.37
b00021,397.93
b00031,73.21
b00385,342.82
b00833,62.92
b00855,135.2
b01066,5.75
b01109,453.05
b01420,29.81
b01700,46.13
b02167,11610.83
